date|likeThreshold
1304200800000|400
1304805600000|400
1305410400000|400
1306015200000|400
1306879200000|400
1307484000000|400
1308088800000|400
1308693600000|400
1309471200000|400
1310076000000|400
1310680800000|400
1311285600000|400
1312149600000|400
1312754400000|400
1313359200000|400
1313964000000|400
1314828000000|400
1315432800000|400
1316037600000|400
1316642400000|400
1317420000000|400
1318024800000|400
1318629600000|400
1319234400000|400
1320102000000|400
1320706800000|400
1321311600000|400
1321916400000|400
1322694000000|400
1323298800000|400
1323903600000|400
1324508400000|400
1325372400000|400
1325977200000|400
1326582000000|400
1327186800000|400
1328050800000|400
1328655600000|400
1329260400000|400
