person1Id|person2Id|startDate|endDate
15393162844355|13194139597187|1298934000000|1301608800000
13194139549729|19791209323957|1298934000000|1301608800000
8796093050988|21990232598953|1298934000000|1301608800000
8796093036628|24189255838319|1298934000000|1301608800000
10995116336842|4398046553226|1298934000000|1301608800000
63744|8796093051837|1298934000000|1301608800000
24189255865332|21990232576108|1298934000000|1301608800000
32985348850211|10995116318889|1298934000000|1301608800000
19791209371509|26388279133648|1298934000000|1301608800000
8796093030786|6597069824825|1298934000000|1301608800000
32985348842861|32985348848685|1309471200000|1312149600000
19791209346065|13194139562217|1309471200000|1312149600000
24189255830242|42171|1309471200000|1312149600000
16093|28587302368092|1309471200000|1312149600000
10995116311765|21990232623092|1309471200000|1312149600000
13194139583719|21990232614519|1309471200000|1312149600000
4398046512764|17592186044461|1309471200000|1312149600000
28587302374628|15393162804325|1309471200000|1312149600000
21990232581793|21990232618508|1309471200000|1312149600000
26388279073508|6597069790090|1309471200000|1312149600000
17592186114936|2199023304488|1317420000000|1320102000000
32985348881462|15393162856800|1317420000000|1320102000000
6597069779496|8796093041563|1317420000000|1320102000000
19791209363612|17592186094358|1317420000000|1320102000000
19791209323880|8796093027086|1317420000000|1320102000000
19791209369892|13194139588698|1317420000000|1320102000000
8796093050356|13194139553232|1317420000000|1320102000000
2199023271087|6597069835427|1317420000000|1320102000000
13194139584503|2199023297972|1317420000000|1320102000000
2199023255953|8796093080878|1317420000000|1320102000000
26388279072133|21990232622563|1325372400000|1328050800000
17592186116499|26388279067358|1325372400000|1328050800000
13194139605873|15393162852316|1325372400000|1328050800000
19791209356903|28587302351402|1325372400000|1328050800000
32985348888792|32985348863204|1325372400000|1328050800000
26388279096205|15393162842466|1325372400000|1328050800000
26388279079344|32985348839382|1325372400000|1328050800000
19791209302584|10995116297473|1325372400000|1328050800000
4398046547372|32985348882111|1325372400000|1328050800000
4398046524621|13194139544608|1325372400000|1328050800000
6597069786968|19791209356435|1330556400000|1333231200000
17592186055110|19791209301749|1330556400000|1333231200000
32985348898351|6597069824577|1330556400000|1333231200000
6597069773692|15393162794380|1330556400000|1333231200000
10995116341514|8796093083723|1330556400000|1333231200000
32985348865006|28587302354756|1330556400000|1333231200000
32985348880929|15393162825585|1330556400000|1333231200000
50591|32985348856283|1330556400000|1333231200000
68649|21990232594634|1330556400000|1333231200000
32985348835647|17592186055240|1330556400000|1333231200000
6597069779170|28587302377440|1333231200000|1335823200000
19791209336199|26388279129305|1333231200000|1335823200000
24189255824087|19791209341124|1333231200000|1335823200000
2199023282199|32985348903387|1333231200000|1335823200000
21990232559829|26388279086400|1333231200000|1335823200000
17592186081015|8796093029500|1333231200000|1335823200000
30786325603608|8909|1333231200000|1335823200000
2199023301245|17592186078209|1333231200000|1335823200000
19791209369545|10995116285513|1333231200000|1335823200000
4398046568953|2199023320307|1333231200000|1335823200000
26388279093509|8796093069904|1343772000000|1346450400000
21990232597776|8796093070067|1343772000000|1346450400000
24189255865422|4398046583258|1343772000000|1346450400000
24189255874045|19791209363738|1343772000000|1346450400000
30786325615285|19791209349427|1343772000000|1346450400000
21990232614390|6597069837804|1343772000000|1346450400000
30786325582319|21990232628160|1343772000000|1346450400000
13194139546074|24189255866462|1343772000000|1346450400000
28587302333868|13194139597787|1343772000000|1346450400000
21990232617168|8796093045624|1343772000000|1346450400000
